"Time_point","gene","cell_line","guide","replicate","value","biotype"
0,"PPIA.TR1","H1975","g1","R1",15.082,"Protein-coding gene"
6,"PPIA.TR1","H1975","g1","R1",16.62188,"Protein-coding gene"
12,"PPIA.TR1","H1975","g1","R1",18.38698,"Protein-coding gene"
18,"PPIA.TR1","H1975","g1","R1",20.13177,"Protein-coding gene"
24,"PPIA.TR1","H1975","g1","R1",20.99082,"Protein-coding gene"
30,"PPIA.TR1","H1975","g1","R1",21.11847,"Protein-coding gene"
36,"PPIA.TR1","H1975","g1","R1",20.96226,"Protein-coding gene"
42,"PPIA.TR1","H1975","g1","R1",20.39105,"Protein-coding gene"
48,"PPIA.TR1","H1975","g1","R1",19.64618,"Protein-coding gene"
54,"PPIA.TR1","H1975","g1","R1",18.40482,"Protein-coding gene"
60,"PPIA.TR1","H1975","g1","R1",18.04418,"Protein-coding gene"
66,"PPIA.TR1","H1975","g1","R1",17.86353,"Protein-coding gene"
72,"PPIA.TR1","H1975","g1","R1",95.85332,"Protein-coding gene"
78,"PPIA.TR1","H1975","g1","R1",88.52305,"Protein-coding gene"
84,"PPIA.TR1","H1975","g1","R1",65.36857,"Protein-coding gene"
90,"PPIA.TR1","H1975","g1","R1",62.61905,"Protein-coding gene"
0,"PPIA.TR1","H1975","g1","R2",15.93876,"Protein-coding gene"
6,"PPIA.TR1","H1975","g1","R2",17.65599,"Protein-coding gene"
12,"PPIA.TR1","H1975","g1","R2",19.18498,"Protein-coding gene"
18,"PPIA.TR1","H1975","g1","R2",20.42216,"Protein-coding gene"
24,"PPIA.TR1","H1975","g1","R2",20.94358,"Protein-coding gene"
30,"PPIA.TR1","H1975","g1","R2",21.1352,"Protein-coding gene"
36,"PPIA.TR1","H1975","g1","R2",20.84816,"Protein-coding gene"
42,"PPIA.TR1","H1975","g1","R2",21.13286,"Protein-coding gene"
48,"PPIA.TR1","H1975","g1","R2",21.84417,"Protein-coding gene"
54,"PPIA.TR1","H1975","g1","R2",23.38316,"Protein-coding gene"
60,"PPIA.TR1","H1975","g1","R2",25.11587,"Protein-coding gene"
66,"PPIA.TR1","H1975","g1","R2",26.78446,"Protein-coding gene"
72,"PPIA.TR1","H1975","g1","R2",28.78069,"Protein-coding gene"
78,"PPIA.TR1","H1975","g1","R2",30.6736,"Protein-coding gene"
84,"PPIA.TR1","H1975","g1","R2",31.95625,"Protein-coding gene"
90,"PPIA.TR1","H1975","g1","R2",32.54877,"Protein-coding gene"
0,"PPIA.TR1","H1975","g2","R1",16.16279,"Protein-coding gene"
6,"PPIA.TR1","H1975","g2","R1",18.31659,"Protein-coding gene"
12,"PPIA.TR1","H1975","g2","R1",20.83114,"Protein-coding gene"
18,"PPIA.TR1","H1975","g2","R1",23.37086,"Protein-coding gene"
24,"PPIA.TR1","H1975","g2","R1",26.28701,"Protein-coding gene"
30,"PPIA.TR1","H1975","g2","R1",29.52428,"Protein-coding gene"
36,"PPIA.TR1","H1975","g2","R1",33.76101,"Protein-coding gene"
42,"PPIA.TR1","H1975","g2","R1",40.35153,"Protein-coding gene"
48,"PPIA.TR1","H1975","g2","R1",49.31179,"Protein-coding gene"
54,"PPIA.TR1","H1975","g2","R1",59.77455,"Protein-coding gene"
60,"PPIA.TR1","H1975","g2","R1",69.63539,"Protein-coding gene"
66,"PPIA.TR1","H1975","g2","R1",76.9761,"Protein-coding gene"
72,"PPIA.TR1","H1975","g2","R1",83.23019,"Protein-coding gene"
78,"PPIA.TR1","H1975","g2","R1",87.21427,"Protein-coding gene"
84,"PPIA.TR1","H1975","g2","R1",90.50688,"Protein-coding gene"
